product_category_name,year,month,order_count,total_sales
cool_stuff,2017,11,254,50723.28000000015
cool_stuff,2017,12,236,41205.05999999992
cool_stuff,2018,1,193,21715.059999999972
cool_stuff,2018,2,173,40262.86999999998
cool_stuff,2018,3,83,6302.509999999998
cool_stuff,2018,4,180,64928.00999999977
cool_stuff,2018,5,24,3870.1499999999987
cool_stuff,2018,6,43,9104.69
cool_stuff,2018,7,22,5542.58
cool_stuff,2018,8,57,14662.809999999989
costruction_tools_garden,2017,4,9,1565.8300000000002
costruction_tools_garden,2017,5,8,995.4400000000003
costruction_tools_garden,2017,8,6,1638.24
costruction_tools_garden,2017,11,10,1402.1
costruction_tools_garden,2018,1,1,93.5
costruction_tools_garden,2018,2,3,317.6
costruction_tools_garden,2018,3,3,2229.88
costruction_tools_garden,2018,4,2,128.8
costruction_tools_garden,2018,6,1,136.89
costruction_tools_garden,2018,7,4,339.70000000000005
costruction_tools_garden,2018,8,8,389.19999999999993
costruction_tools_tools,2017,11,7,5740.35
costruction_tools_tools,2017,12,14,11480.699999999997
costruction_tools_tools,2018,1,14,11480.699999999997
costruction_tools_tools,2018,2,7,5740.35
costruction_tools_tools,2018,3,15,5836.110000000002
costruction_tools_tools,2018,4,1,579.0
costruction_tools_tools,2018,6,4,2480.4
costruction_tools_tools,2018,7,5,2559.13
costruction_tools_tools,2018,8,52,4584.600000000005
drinks,2017,3,1,18.04
drinks,2017,8,1,129.46
drinks,2017,9,1,116.11
drinks,2017,10,8,2116.0
drinks,2017,12,9,6177.879999999998
drinks,2018,1,5,579.29
drinks,2018,3,1,679.0
drinks,2018,4,5,859.92
drinks,2018,5,1,109.9
drinks,2018,6,2,425.5
drinks,2018,7,1,692.0
dvds_blu_ray,2017,3,1,181.56
dvds_blu_ray,2017,5,1,820.05
dvds_blu_ray,2017,12,1,849.5
dvds_blu_ray,2018,6,4,1900.0
electronics,2017,2,24,6753.839999999998
electronics,2017,3,2,208.8
electronics,2017,4,2,208.8
electronics,2017,5,8,1537.46
electronics,2017,7,2,860.0
electronics,2017,8,12,882.1300000000001
electronics,2017,9,15,1879.6500000000003
electronics,2017,10,45,6126.87
electronics,2017,11,33,8563.300000000001
electronics,2017,12,83,7752.360000000013
electronics,2018,1,215,22489.86
electronics,2018,2,218,14409.689999999988
electronics,2018,3,126,16396.61999999998
