seller_id,order_count,avg_processing_time,avg_delivery_days,total_sales,prediction
4CUYuEcsAfEP,40,0.2959806134259259,7.0,1063.08,1
4DUiDncGQsrX,25,0.00823611111111111,7.0,2837.25,1
4FPckp1t3j1n,16,0.13992332175925926,7.0,5294.02,1
4HKzIT2vu2j8,2,0.2927314814814815,7.0,322.0,1
4IiIVG2r4bWO,7,1.1884160052910053,7.0,1518.72,1
4JfBsw8nXPBg,2,1.0725810185185185,7.0,1802.39,1
4MiHoNpiDntM,9,0.00875,7.0,107.73,1
4Qi71ZsjOJIX,251,0.41084029622251733,7.0,76620.05,1
4RCDmhw2Wb3Z,1,1.5508449074074073,7.0,125.46,2
4SRv5bbOf4fh,471,0.4951917217110954,7.0,49683.810000000005,1
4SWsneYKnFcc,33,0.39176837822671157,7.0,8253.58,1
4TUYR7MZdfAH,7,2.025481150793651,7.0,1014.1899999999999,1
4YcgcZ3R8f8q,128,0.025585575810185186,7.0,41286.64,1
4YvZWfI3A03T,136,0.42881604030501086,7.0,42057.13,1
4akXJFzLVMhl,1,0.008078703703703704,7.0,10.35,1
4cJY064rRFhL,6125,0.64314361866969,7.0,808864.6,1
4cyCNWR4vh3z,108,0.16232081618655694,7.0,9936.5,1
4dCTuSwggSGX,6,0.8534895833333334,7.0,222.54000000000002,2
4g8XR4VO6DqK,4,0.7562268518518519,7.0,494.96000000000004,1
4gFUunRuFEhp,2,0.6334837962962963,7.0,931.27,1
4j49QGcby0zw,63,0.24170965608465608,7.0,8376.96,1
4jJGNaBVk65x,10,0.2090046296296296,7.0,1322.06,1
4kdEv1FpyZmY,10,0.8901481481481482,7.0,2312.98,1
4kvCzkmsqYGZ,2,0.6313310185185185,7.0,98.76,2
4mKqWzXFLaBt,271,0.28876584495011615,7.0,70260.78,1
4mNc3mfswqzQ,1,0.010729166666666666,7.0,142.14,1
4nyyi5gifVI6,97,0.2799621754486445,7.0,12438.87,1
4qcaJHvHiLmg,4,0.04047453703703704,7.0,439.28,1
4rtH6c1PSmrF,231,0.2895612874779541,7.0,26416.29,1
4x6Z2AgJ9ya3,95,0.3803192007797271,7.0,12661.300000000001,1
56DLys9ECuwq,93,0.3222079101951414,7.0,14432.11,1
58oyoNP1FEmT,1,0.008761574074074074,7.0,134.57,1
5Ar89MgcMBkf,1,1.0909027777777778,7.0,26.91,2
5CWsML1OpXsm,64,0.2321142578125,7.0,7205.37,1
5FAQ2DFjXxv9,7,0.012407407407407407,7.0,927.28,1
5FvGdji6skxT,832,0.6513152293669872,7.0,633769.5,1
5Gg5pN4FYKlc,1,0.013460648148148149,7.0,107.53,1
5GwbKiUEmaYY,7,0.012404100529100529,7.0,2199.78,1
5Gy7uhHc7ere,5,0.7020694444444444,7.0,569.92,1
5Ig5GP65GEXO,9,0.9701041666666667,7.0,179.1,2
5IpSxnKVJPkj,52,0.2635082799145299,7.0,9928.4,1
5IurHypQKH43,1,0.007916666666666667,7.0,820.05,1
5Ja2lH0N2OZt,632,0.2226480089662447,7.0,379422.55999999994,1
5MRK3sOZLRqs,4,0.008969907407407407,7.0,464.44,1
5PPSa4BKuN4P,5,0.515275462962963,7.0,1365.12,1
5TrVV812wZ9a,60,0.465533950617284,7.0,93387.54,1
5Tuxay3bG3t7,8,0.1828645833333333,7.0,2796.64,1
5UXegtTbMc0Y,1,0.005694444444444445,7.0,4099.99,1
5YpZRhwM0e0V,70,0.2792888558201058,7.0,33225.01,1
5adD8cqHvem2,1,0.00982638888888889,7.0,188.8,1
5elnJdwvGA8Z,4,0.010023148148148147,7.0,13599.96,0
5huq3aNa0gLw,1,0.008449074074074074,7.0,217.91,1
5iSGJ4lNi64X,41,0.4915150745257452,7.0,3825.3599999999997,1
5jmVaCDVvTba,50,0.35658194444444447,7.0,9569.72,1
5ogCnwzSomBT,9,0.41385288065843623,7.0,1774.99,1
5ot6CXSR4FzY,4,0.6292650462962963,7.0,172.84,2
5tQfyxXnas9h,10,0.01423611111111111,7.0,2865.4,1
5vafBVVEdnjw,8,0.4925925925925926,7.0,1414.55,1
5wnoHfXKSv4m,29,0.1166934067688378,7.0,11501.92,1
5zRxM0U0Jjbx,1,0.10976851851851852,7.0,3399.99,1
5zc6Bn39myou,4,0.19067129629629628,7.0,1596.8,1
5zddfltaxViQ,1,0.019895833333333335,7.0,195.65,1
60CZvBJuXsud,3,0.005914351851851852,7.0,1568.48,1
65TjpIR9qU7h,5,0.011011574074074073,7.0,133.32,1
66O92FkKsKzb,32,0.05024124710648148,7.0,3913.3599999999997,1
67q38x7OSuqQ,5,0.4017407407407408,7.0,1200.97,1
6Egd4mYX3O2T,2,0.37464699074074076,7.0,789.05,1
6F1OutNfSmRE,29,0.5306234035759898,7.0,12336.04,1
6Gng42ur2tEg,1,0.007337962962962963,7.0,346.99,1
6Gon9nN29mqW,25,0.33133101851851854,7.0,1374.5,1
6I6UyIQ3BsB8,12,1.0424180169753088,7.0,6461.61,1
6JKxHTjywSkQ,1,0.015590277777777778,7.0,66.3,1
6JPlPJWfcoxj,2,0.008958333333333334,7.0,150.5,1
6JelfdTNhHzl,1,1.2907986111111112,7.0,26.77,2
6MAbbnUfDgoY,7,0.2075165343915344,7.0,1498.22,1
6MiWj2HWq9eD,15,1.0151350308641975,7.0,8003.299999999999,1
6OzEAZLOjsy2,16,0.2156966145833333,7.0,3022.7599999999998,1
6RBm8XoBSX9U,84,0.2354956183862434,7.0,12984.06,1
6RP6rI6FuNCn,11,0.8056039562289562,7.0,1511.79,1
6RXn8X3tMEFa,1,0.06805555555555555,7.0,184.9,1
6S5BD1ybM0k0,82,0.6432110998193314,7.0,28384.97,1
