product_category_name,order_year,order_month,count,date
construction_tools_construction,2018,5,209,2018-05-01
construction_tools_construction,2018,6,412,2018-06-01
construction_tools_construction,2018,7,183,2018-07-01
construction_tools_construction,2018,8,374,2018-08-01
construction_tools_lights,2018,1,5,2018-01-01
construction_tools_lights,2018,2,42,2018-02-01
construction_tools_lights,2018,3,16,2018-03-01
construction_tools_lights,2018,4,35,2018-04-01
construction_tools_lights,2018,5,72,2018-05-01
construction_tools_lights,2018,6,47,2018-06-01
construction_tools_lights,2018,7,44,2018-07-01
construction_tools_lights,2018,8,72,2018-08-01
construction_tools_safety,2017,12,3,2017-12-01
construction_tools_safety,2018,1,1,2018-01-01
construction_tools_safety,2018,2,3,2018-02-01
construction_tools_safety,2018,3,2,2018-03-01
construction_tools_safety,2018,4,16,2018-04-01
construction_tools_safety,2018,5,15,2018-05-01
construction_tools_safety,2018,6,10,2018-06-01
construction_tools_safety,2018,7,6,2018-07-01
construction_tools_safety,2018,8,2,2018-08-01
cool_stuff,2016,10,1,2016-10-01
cool_stuff,2017,1,29,2017-01-01
cool_stuff,2017,2,529,2017-02-01
cool_stuff,2017,3,1345,2017-03-01
cool_stuff,2017,4,2579,2017-04-01
cool_stuff,2017,5,2815,2017-05-01
cool_stuff,2017,6,2709,2017-06-01
cool_stuff,2017,7,3028,2017-07-01
cool_stuff,2017,8,2884,2017-08-01
cool_stuff,2017,9,617,2017-09-01
cool_stuff,2017,10,1353,2017-10-01
cool_stuff,2017,11,1424,2017-11-01
cool_stuff,2017,12,692,2017-12-01
cool_stuff,2018,1,816,2018-01-01
cool_stuff,2018,2,469,2018-02-01
cool_stuff,2018,3,553,2018-03-01
cool_stuff,2018,4,326,2018-04-01
cool_stuff,2018,5,128,2018-05-01
cool_stuff,2018,6,51,2018-06-01
cool_stuff,2018,7,23,2018-07-01
cool_stuff,2018,8,159,2018-08-01
costruction_tools_garden,2017,4,120,2017-04-01
costruction_tools_garden,2017,5,40,2017-05-01
costruction_tools_garden,2017,7,30,2017-07-01
costruction_tools_garden,2017,8,23,2017-08-01
costruction_tools_garden,2017,9,31,2017-09-01
costruction_tools_garden,2017,10,11,2017-10-01
costruction_tools_garden,2017,11,36,2017-11-01
costruction_tools_garden,2017,12,29,2017-12-01
costruction_tools_garden,2018,1,59,2018-01-01
costruction_tools_garden,2018,2,37,2018-02-01
costruction_tools_garden,2018,3,53,2018-03-01
costruction_tools_garden,2018,4,8,2018-04-01
costruction_tools_garden,2018,5,41,2018-05-01
costruction_tools_garden,2018,6,85,2018-06-01
costruction_tools_garden,2018,7,45,2018-07-01
costruction_tools_garden,2018,8,4,2018-08-01
costruction_tools_tools,2017,9,1,2017-09-01
costruction_tools_tools,2017,10,11,2017-10-01
costruction_tools_tools,2017,11,11,2017-11-01
costruction_tools_tools,2017,12,33,2017-12-01
costruction_tools_tools,2018,1,11,2018-01-01
costruction_tools_tools,2018,2,33,2018-02-01
costruction_tools_tools,2018,3,33,2018-03-01
costruction_tools_tools,2018,4,10,2018-04-01
costruction_tools_tools,2018,7,9,2018-07-01
costruction_tools_tools,2018,8,106,2018-08-01
diapers_and_hygiene,2016,10,1,2016-10-01
drinks,2017,3,4,2017-03-01
drinks,2017,5,4,2017-05-01
drinks,2017,8,1,2017-08-01
drinks,2017,9,11,2017-09-01
drinks,2017,10,28,2017-10-01
drinks,2017,11,36,2017-11-01
drinks,2017,12,32,2017-12-01
drinks,2018,1,47,2018-01-01
drinks,2018,2,20,2018-02-01
drinks,2018,3,5,2018-03-01
drinks,2018,4,103,2018-04-01
drinks,2018,5,38,2018-05-01
drinks,2018,6,2,2018-06-01
drinks,2018,8,11,2018-08-01
dvds_blu_ray,2017,3,1,2017-03-01
dvds_blu_ray,2017,6,1,2017-06-01
dvds_blu_ray,2017,7,2,2017-07-01
dvds_blu_ray,2017,8,1,2017-08-01
dvds_blu_ray,2018,1,1,2018-01-01
dvds_blu_ray,2018,5,5,2018-05-01
dvds_blu_ray,2018,6,1,2018-06-01
electronics,2017,1,20,2017-01-01
electronics,2017,2,22,2017-02-01
electronics,2017,3,87,2017-03-01
electronics,2017,4,29,2017-04-01
electronics,2017,5,15,2017-05-01
electronics,2017,6,19,2017-06-01
electronics,2017,7,92,2017-07-01
electronics,2017,8,204,2017-08-01
electronics,2017,9,49,2017-09-01
electronics,2017,10,204,2017-10-01
electronics,2017,11,323,2017-11-01
electronics,2017,12,567,2017-12-01
electronics,2018,1,1834,2018-01-01
electronics,2018,2,1305,2018-02-01
electronics,2018,3,1296,2018-03-01
electronics,2018,4,986,2018-04-01
electronics,2018,5,1077,2018-05-01
electronics,2018,6,1079,2018-06-01
electronics,2018,7,503,2018-07-01
electronics,2018,8,244,2018-08-01
fashio_female_clothing,2017,1,1,2017-01-01
fashio_female_clothing,2018,8,1,2018-08-01
fashion_bags_accessories,2016,10,16,2016-10-01
fashion_bags_accessories,2017,1,3,2017-01-01
fashion_bags_accessories,2017,2,15,2017-02-01
fashion_bags_accessories,2017,3,79,2017-03-01
fashion_bags_accessories,2017,4,42,2017-04-01
fashion_bags_accessories,2017,5,202,2017-05-01
fashion_bags_accessories,2017,6,50,2017-06-01
fashion_bags_accessories,2017,7,50,2017-07-01
fashion_bags_accessories,2017,8,117,2017-08-01
fashion_bags_accessories,2017,9,75,2017-09-01
fashion_bags_accessories,2017,10,126,2017-10-01
fashion_bags_accessories,2017,11,190,2017-11-01
fashion_bags_accessories,2017,12,140,2017-12-01
fashion_bags_accessories,2018,1,145,2018-01-01
fashion_bags_accessories,2018,2,70,2018-02-01
fashion_bags_accessories,2018,3,180,2018-03-01
fashion_bags_accessories,2018,4,82,2018-04-01
fashion_bags_accessories,2018,5,81,2018-05-01
fashion_bags_accessories,2018,6,73,2018-06-01
fashion_bags_accessories,2018,7,232,2018-07-01
fashion_bags_accessories,2018,8,50,2018-08-01
fashion_childrens_clothes,2017,9,2,2017-09-01
fashion_childrens_clothes,2018,6,2,2018-06-01
fashion_male_clothing,2017,1,1,2017-01-01
fashion_male_clothing,2017,2,2,2017-02-01
fashion_male_clothing,2017,3,2,2017-03-01
fashion_male_clothing,2017,4,2,2017-04-01
fashion_male_clothing,2017,6,5,2017-06-01
fashion_male_clothing,2017,7,1,2017-07-01
fashion_male_clothing,2017,9,9,2017-09-01
fashion_male_clothing,2017,10,1,2017-10-01
fashion_male_clothing,2017,11,2,2017-11-01
fashion_male_clothing,2018,2,1,2018-02-01
fashion_male_clothing,2018,4,1,2018-04-01
fashion_male_clothing,2018,7,1,2018-07-01
fashion_male_clothing,2018,8,1,2018-08-01
fashion_shoes,2016,10,1,2016-10-01
fashion_shoes,2017,3,33,2017-03-01
fashion_shoes,2017,4,4,2017-04-01
fashion_shoes,2017,5,32,2017-05-01
fashion_shoes,2017,6,39,2017-06-01
fashion_shoes,2017,7,28,2017-07-01
fashion_shoes,2017,8,29,2017-08-01
fashion_shoes,2017,9,3,2017-09-01
fashion_shoes,2017,10,2,2017-10-01
fashion_shoes,2017,11,4,2017-11-01
fashion_shoes,2017,12,8,2017-12-01
fashion_shoes,2018,1,3,2018-01-01
fashion_shoes,2018,2,3,2018-02-01
fashion_shoes,2018,3,2,2018-03-01
fashion_shoes,2018,4,5,2018-04-01
fashion_shoes,2018,5,2,2018-05-01
fashion_shoes,2018,6,4,2018-06-01
fashion_shoes,2018,8,1,2018-08-01
fashion_sport,2017,5,1,2017-05-01
fashion_sport,2017,6,2,2017-06-01
fashion_sport,2017,8,2,2017-08-01
fashion_underwear_beach,2017,1,1,2017-01-01
fashion_underwear_beach,2017,2,1,2017-02-01
fashion_underwear_beach,2017,3,1,2017-03-01
fashion_underwear_beach,2017,6,1,2017-06-01
fashion_underwear_beach,2017,8,9,2017-08-01
fashion_underwear_beach,2017,9,1,2017-09-01
fashion_underwear_beach,2017,10,1,2017-10-01
fashion_underwear_beach,2017,11,8,2017-11-01
fashion_underwear_beach,2017,12,1,2017-12-01
fashion_underwear_beach,2018,1,8,2018-01-01
fashion_underwear_beach,2018,2,4,2018-02-01
fashion_underwear_beach,2018,3,4,2018-03-01
fixed_telephony,2017,1,1,2017-01-01
fixed_telephony,2017,2,2,2017-02-01
fixed_telephony,2017,3,4,2017-03-01
fixed_telephony,2017,4,2,2017-04-01
fixed_telephony,2017,6,1,2017-06-01
fixed_telephony,2017,8,7,2017-08-01
fixed_telephony,2017,10,7,2017-10-01
fixed_telephony,2017,11,1,2017-11-01
fixed_telephony,2017,12,2,2017-12-01
fixed_telephony,2018,1,6,2018-01-01
fixed_telephony,2018,2,7,2018-02-01
fixed_telephony,2018,3,5,2018-03-01
fixed_telephony,2018,4,3,2018-04-01
fixed_telephony,2018,5,23,2018-05-01
fixed_telephony,2018,6,17,2018-06-01
fixed_telephony,2018,7,28,2018-07-01
fixed_telephony,2018,8,5,2018-08-01
flowers,2017,12,5,2017-12-01
flowers,2018,1,5,2018-01-01
flowers,2018,2,5,2018-02-01
flowers,2018,3,10,2018-03-01
flowers,2018,4,1,2018-04-01
food,2017,2,96,2017-02-01
food,2017,3,216,2017-03-01
food,2017,5,24,2017-05-01
food,2017,6,48,2017-06-01
food,2017,7,48,2017-07-01
food,2017,8,49,2017-08-01
food,2017,10,72,2017-10-01
food,2017,12,4,2017-12-01
food,2018,2,1,2018-02-01
food,2018,3,28,2018-03-01
food,2018,4,8,2018-04-01
food,2018,5,56,2018-05-01
food,2018,6,8,2018-06-01
food,2018,7,26,2018-07-01
food,2018,8,23,2018-08-01
food_drink,2017,4,8,2017-04-01
food_drink,2017,5,9,2017-05-01
food_drink,2017,7,2,2017-07-01
food_drink,2017,8,52,2017-08-01
food_drink,2017,9,42,2017-09-01
food_drink,2017,10,36,2017-10-01
food_drink,2017,11,89,2017-11-01
food_drink,2017,12,63,2017-12-01
food_drink,2018,1,8,2018-01-01
food_drink,2018,2,21,2018-02-01
food_drink,2018,3,21,2018-03-01
food_drink,2018,4,40,2018-04-01
food_drink,2018,5,34,2018-05-01
food_drink,2018,6,9,2018-06-01
food_drink,2018,8,15,2018-08-01
furniture_bedroom,2017,5,13,2017-05-01
furniture_bedroom,2017,7,6,2017-07-01
furniture_bedroom,2017,10,7,2017-10-01
furniture_bedroom,2017,11,6,2017-11-01
furniture_bedroom,2018,2,19,2018-02-01
furniture_bedroom,2018,3,7,2018-03-01
furniture_bedroom,2018,5,6,2018-05-01
furniture_decor,2016,10,26,2016-10-01
furniture_decor,2017,1,221,2017-01-01
furniture_decor,2017,2,368,2017-02-01
furniture_decor,2017,3,655,2017-03-01
furniture_decor,2017,4,314,2017-04-01
furniture_decor,2017,5,486,2017-05-01
furniture_decor,2017,6,619,2017-06-01
furniture_decor,2017,7,794,2017-07-01
furniture_decor,2017,8,1223,2017-08-01
furniture_decor,2017,9,733,2017-09-01
furniture_decor,2017,10,637,2017-10-01
furniture_decor,2017,11,1700,2017-11-01
furniture_decor,2017,12,854,2017-12-01
furniture_decor,2018,1,1858,2018-01-01
furniture_decor,2018,2,1510,2018-02-01
furniture_decor,2018,3,2922,2018-03-01
furniture_decor,2018,4,2710,2018-04-01
furniture_decor,2018,5,2334,2018-05-01
furniture_decor,2018,6,1236,2018-06-01
furniture_decor,2018,7,1747,2018-07-01
furniture_decor,2018,8,1329,2018-08-01
furniture_living_room,2017,1,26,2017-01-01
furniture_living_room,2017,2,4,2017-02-01
furniture_living_room,2017,4,7,2017-04-01
furniture_living_room,2017,5,79,2017-05-01
furniture_living_room,2017,6,33,2017-06-01
furniture_living_room,2017,7,28,2017-07-01
furniture_living_room,2017,8,63,2017-08-01
furniture_living_room,2017,9,1,2017-09-01
furniture_living_room,2017,10,5,2017-10-01
furniture_living_room,2017,11,15,2017-11-01
furniture_living_room,2017,12,20,2017-12-01
furniture_living_room,2018,1,4,2018-01-01
furniture_living_room,2018,3,3,2018-03-01
furniture_living_room,2018,4,18,2018-04-01
furniture_living_room,2018,5,4,2018-05-01
furniture_living_room,2018,6,17,2018-06-01
furniture_living_room,2018,7,30,2018-07-01
furniture_living_room,2018,8,15,2018-08-01
furniture_mattress_and_upholstery,2018,1,1,2018-01-01
garden_tools,2017,1,22,2017-01-01
garden_tools,2017,2,363,2017-02-01
garden_tools,2017,3,239,2017-03-01
garden_tools,2017,4,639,2017-04-01
garden_tools,2017,5,384,2017-05-01
garden_tools,2017,6,360,2017-06-01
garden_tools,2017,7,3410,2017-07-01
garden_tools,2017,8,6097,2017-08-01
garden_tools,2017,9,3185,2017-09-01
garden_tools,2017,10,8005,2017-10-01
garden_tools,2017,11,17857,2017-11-01
garden_tools,2017,12,10337,2017-12-01
garden_tools,2018,1,11584,2018-01-01
garden_tools,2018,2,10057,2018-02-01
garden_tools,2018,3,4107,2018-03-01
garden_tools,2018,4,6679,2018-04-01
garden_tools,2018,5,6355,2018-05-01
garden_tools,2018,6,3694,2018-06-01
garden_tools,2018,7,1095,2018-07-01
garden_tools,2018,8,2350,2018-08-01
health_beauty,2016,10,83,2016-10-01
health_beauty,2017,1,250,2017-01-01
health_beauty,2017,2,2317,2017-02-01
health_beauty,2017,3,3950,2017-03-01
health_beauty,2017,4,3552,2017-04-01
health_beauty,2017,5,6168,2017-05-01
health_beauty,2017,6,10377,2017-06-01
health_beauty,2017,7,10693,2017-07-01
health_beauty,2017,8,11829,2017-08-01
health_beauty,2017,9,13527,2017-09-01
health_beauty,2017,10,12826,2017-10-01
health_beauty,2017,11,14452,2017-11-01
health_beauty,2017,12,11400,2017-12-01
health_beauty,2018,1,8519,2018-01-01
health_beauty,2018,2,11586,2018-02-01
health_beauty,2018,3,7745,2018-03-01
health_beauty,2018,4,4752,2018-04-01
health_beauty,2018,5,7016,2018-05-01
health_beauty,2018,6,8653,2018-06-01
health_beauty,2018,7,6416,2018-07-01
health_beauty,2018,8,5432,2018-08-01
home_appliances,2017,2,4,2017-02-01
home_appliances,2017,3,75,2017-03-01
home_appliances,2017,4,99,2017-04-01
home_appliances,2017,5,268,2017-05-01
home_appliances,2017,6,252,2017-06-01
home_appliances,2017,7,207,2017-07-01
home_appliances,2017,8,129,2017-08-01
home_appliances,2017,9,137,2017-09-01
home_appliances,2017,10,44,2017-10-01
home_appliances,2017,11,14,2017-11-01
home_appliances,2017,12,15,2017-12-01
home_appliances,2018,1,207,2018-01-01
home_appliances,2018,2,330,2018-02-01
home_appliances,2018,3,418,2018-03-01
home_appliances,2018,4,200,2018-04-01
home_appliances,2018,5,52,2018-05-01
home_appliances,2018,6,47,2018-06-01
home_appliances,2018,7,41,2018-07-01
home_appliances,2018,8,24,2018-08-01
home_appliances_2,2017,1,156,2017-01-01
home_appliances_2,2017,5,2,2017-05-01
home_appliances_2,2017,7,20,2017-07-01
home_appliances_2,2017,8,31,2017-08-01
home_appliances_2,2017,9,1,2017-09-01
home_appliances_2,2017,10,11,2017-10-01
home_appliances_2,2018,1,28,2018-01-01
home_appliances_2,2018,2,37,2018-02-01
home_appliances_2,2018,3,17,2018-03-01
home_appliances_2,2018,4,38,2018-04-01
home_appliances_2,2018,5,17,2018-05-01
home_appliances_2,2018,6,29,2018-06-01
home_appliances_2,2018,7,8,2018-07-01
home_appliances_2,2018,8,11,2018-08-01
home_comfort_2,2017,1,1,2017-01-01
home_confort,2017,3,2,2017-03-01
home_confort,2017,5,8,2017-05-01
home_confort,2017,7,20,2017-07-01
home_confort,2017,8,5,2017-08-01
home_confort,2017,9,6,2017-09-01
home_confort,2017,10,13,2017-10-01
home_confort,2017,11,4,2017-11-01
home_confort,2017,12,3,2017-12-01
home_confort,2018,2,22,2018-02-01
home_confort,2018,3,10,2018-03-01
home_confort,2018,4,1,2018-04-01
home_confort,2018,6,8,2018-06-01
home_confort,2018,7,12,2018-07-01
home_construction,2017,2,4,2017-02-01
home_construction,2017,4,1,2017-04-01
home_construction,2017,6,1,2017-06-01
home_construction,2017,8,1,2017-08-01
home_construction,2017,9,12,2017-09-01
home_construction,2017,10,47,2017-10-01
home_construction,2017,11,132,2017-11-01
home_construction,2017,12,138,2017-12-01
home_construction,2018,1,58,2018-01-01
home_construction,2018,2,102,2018-02-01
home_construction,2018,3,205,2018-03-01
home_construction,2018,4,230,2018-04-01
home_construction,2018,5,38,2018-05-01
home_construction,2018,6,12,2018-06-01
home_construction,2018,7,24,2018-07-01
home_construction,2018,8,22,2018-08-01
housewares,2016,10,6,2016-10-01
housewares,2017,1,221,2017-01-01
housewares,2017,2,85,2017-02-01
housewares,2017,3,259,2017-03-01
housewares,2017,4,312,2017-04-01
housewares,2017,5,604,2017-05-01
housewares,2017,6,1061,2017-06-01
housewares,2017,7,1552,2017-07-01
housewares,2017,8,858,2017-08-01
housewares,2017,9,791,2017-09-01
housewares,2017,10,550,2017-10-01
housewares,2017,11,724,2017-11-01
housewares,2017,12,832,2017-12-01
housewares,2018,1,1256,2018-01-01
housewares,2018,2,720,2018-02-01
housewares,2018,3,513,2018-03-01
housewares,2018,4,1087,2018-04-01
housewares,2018,5,895,2018-05-01
housewares,2018,6,548,2018-06-01
housewares,2018,7,332,2018-07-01
housewares,2018,8,362,2018-08-01
industry_commerce_and_business,2017,3,10,2017-03-01
industry_commerce_and_business,2017,6,5,2017-06-01
industry_commerce_and_business,2017,8,5,2017-08-01
industry_commerce_and_business,2017,11,3,2017-11-01
industry_commerce_and_business,2017,12,1,2017-12-01
industry_commerce_and_business,2018,2,115,2018-02-01
industry_commerce_and_business,2018,3,133,2018-03-01
industry_commerce_and_business,2018,4,190,2018-04-01
industry_commerce_and_business,2018,5,32,2018-05-01
industry_commerce_and_business,2018,6,189,2018-06-01
industry_commerce_and_business,2018,7,110,2018-07-01
industry_commerce_and_business,2018,8,1,2018-08-01
kitchen_dining_laundry_garden_furniture,2017,2,1,2017-02-01
kitchen_dining_laundry_garden_furniture,2017,4,8,2017-04-01
kitchen_dining_laundry_garden_furniture,2017,7,19,2017-07-01
kitchen_dining_laundry_garden_furniture,2017,8,18,2017-08-01
kitchen_dining_laundry_garden_furniture,2017,10,10,2017-10-01
kitchen_dining_laundry_garden_furniture,2017,11,145,2017-11-01
kitchen_dining_laundry_garden_furniture,2017,12,76,2017-12-01
kitchen_dining_laundry_garden_furniture,2018,1,12,2018-01-01
kitchen_dining_laundry_garden_furniture,2018,2,39,2018-02-01
