seller_id,performance,performance_score,order_count,total_sales,avg_order_value,avg_processing_time,avg_delivery_days,prediction,on_time_delivery_rate,shipping_ratio
U6Uiznl9Nen4,High,62.1,3,3183.51,1061.1699999999998,0.1051041666666666,3.7717708333333335,0,100.0,1.7622058671089458
8yd5ua5liXsq,High,70.95,8,3050.51,381.31375,0.0098640046296296,5.009864004629629,0,100.0,5.428272649491396
fyleKP1Kn10a,High,62.14,6,2960.7000000000003,493.4500000000001,0.2322646604938271,5.7322646604938265,0,100.0,7.816732529469382
t56mOelTB4wQ,High,64.78,12,2936.03,244.66916666666668,0.2236062885802469,4.473606288580247,0,100.0,14.795829742884099
iXOkP9YYXcul,High,55.49,1,2899.0,2899.0,0.1985532407407407,5.198553240740741,0,100.0,3.8982407726802344
jr5h8sSfCvnb,High,64.25,1,2899.0,2899.0,0.0078703703703703,3.0078703703703704,0,100.0,1.75612280096585
llGtG0u2M9jd,High,61.38,1,2899.0,2899.0,0.0120601851851851,4.012060185185185,0,100.0,2.0720938254570545
goc0dN2nEdQs,High,65.62,3,2898.48,966.16,0.0126427469135802,5.345976080246913,0,100.0,8.939168115702024
mEBm4Hehu6HT,High,69.29,6,2853.98,475.66333333333336,0.0107233796296296,4.5107233796296295,0,100.0,1.1920195656591848
4DUiDncGQsrX,High,75.67,25,2837.25,113.49,0.0082361111111111,5.808236111111111,0,100.0,31.394836549475723
pCwVtviNDMp4,High,59.71,2,2830.59,1415.295,0.1344791666666666,5.134479166666667,0,100.0,1.0050908114562689
09F3UWEcH2uN,High,62.98,1,2799.65,2799.65,0.0091087962962962,4.009108796296296,0,100.0,2.5321022270640974
5Tuxay3bG3t7,High,63.8,8,2796.64,349.58,0.1828645833333333,4.932864583333333,0,100.0,4.819354654156417
ee86ngqHsJgy,High,62.32,8,2782.52,347.815,0.250318287037037,4.375318287037037,0,100.0,11.210341704641834
2v0gTzEWz4Yb,High,67.2,9,2772.14,308.0155555555555,0.0305928497942386,5.030592849794238,0,100.0,12.74466657528119
wIiYrX2R5wXx,High,67.7,4,2735.98,683.995,0.01,4.51,0,100.0,1.875744705736153
rsc2MD2dnZe3,High,55.38,4,2734.48,683.62,0.4302314814814815,4.430231481481481,0,100.0,2.6089055323132735
CMD3ivLJPYFq,High,70.93,9,2692.44,299.16,0.00965920781893,5.009659207818931,0,100.0,5.607553000252558
eQtyOo6Nhf5Z,High,65.05,1,2689.0,2689.0,0.0055092592592592,6.005509259259259,0,100.0,1.1030122722201563
an4nnRfYSBxC,High,59.53,4,2643.08,660.77,0.2439785879629629,4.243978587962963,0,100.0,2.862191080103516
zFCNnD9T0fB1,High,57.93,3,2633.3,877.7666666666665,0.2678009259259259,5.601134259259259,0,100.0,5.403865871719895
k1R7V9GBmI8y,High,64.53,4,2618.9,654.725,0.0208015046296296,4.520801504629629,0,100.0,7.636030394440413
n5YX70jIKP0h,High,65.04,46,2569.25,55.85326086956522,0.1140071457326892,4.874876710950081,0,97.82608695652172,83.87233628490804
oHI7DaPFhKAw,High,64.24,5,2562.5600000000004,512.5120000000001,0.0440625,4.6440625,0,100.0,1.66161963036963
CNWoEIUkMX7C,High,68.46,18,2561.6800000000003,142.31555555555556,0.0555594135802469,4.611114969135802,0,100.0,34.092080197370464
bXS3llDkHLHg,High,66.07,10,2545.68,254.568,0.0752291666666666,5.475229166666667,0,100.0,17.713145407121086
Ag8PByZiRLGh,High,62.17,10,2537.77,253.777,0.2721226851851852,4.472122685185186,0,100.0,14.16479822836585
RFRASdyOXbvW,High,65.28,5,2526.0,505.2,0.0214814814814814,5.821481481481482,0,100.0,1.5296912114014252
ZYmjXZzv1NVS,High,65.62,4,2480.4,620.1,0.0132754629629629,5.513275462962963,0,100.0,15.023383325270117
wzGY5bxLJ24L,High,61.2,18,2436.12,135.34,0.167573945473251,5.05646283436214,0,94.44444444444444,28.8150830008374
xVaf9S84mIN1,High,64.63,4,2347.69,586.9225,0.0165335648148148,5.516533564814814,0,100.0,6.093649502276706
qQu7MxPlBpA3,High,59.46,16,2346.8,146.675,0.4391876446759259,5.9391876446759255,0,100.0,35.51516959263678
BBs03po2MkSy,High,66.03,11,2315.98,210.54363636363635,0.0730566077441077,5.891238425925926,0,100.0,17.651275054188723
