seller_id,prediction,order_count,avg_processing_time,avg_delivery_days,total_sales,avg_order_value,on_time_delivery_rate,performance_cluster
oAZOntQn2tEJ,0,51,0.6666666666666666,5.0,28443.57000000001,557.7170588235297,0.85,1
BnvXJ0H2aMk7,0,33,0.45454545454545453,5.0,4636.139999999999,140.4890909090909,0.85,1
9mFtbRVSsbmJ,0,16,0.625,5.0,13658.359999999999,853.6474999999999,0.85,1
ygJs6VPSMZTk,0,91,0.21978021978021978,5.0,18714.48,205.65362637362637,0.85,1
rYXv8pduCNg2,0,1,0.0,5.0,18.1,18.1,0.85,1
c5IEA7Rb9mm7,0,167,0.9341317365269461,5.0,23050.140000000065,138.02479041916206,0.85,1
A5YMZxYMOyV8,0,106,0.24528301886792453,5.0,27208.550000000014,256.6844339622643,0.85,1
VGN6p3F64fCm,0,7,0.5714285714285714,5.0,611.45,87.35000000000001,0.85,1
s2bxGXOv33PT,0,17,0.23529411764705882,5.0,46530.0,2737.0588235294117,0.85,1
d4feUzwFYvBa,1,2,1.5,5.0,13.98,6.99,0.85,2
qQu7MxPlBpA3,0,16,0.5625,5.0,2346.7999999999997,146.67499999999998,0.85,1
I1b4OQA41L33,0,2,1.0,5.0,224.45,112.225,0.85,1
lOhCPYW90ZcM,0,1,0.0,5.0,399.2,399.2,0.85,1
2kAh9lqZUKGn,0,1,0.0,5.0,2600.0,2600.0,0.85,1
EbDXxSMF3Rd4,0,2,0.0,5.0,904.36,452.18,0.85,1
3FEfMKD9aVSs,0,1,0.0,5.0,166.94,166.94,0.85,1
8hOwO6tarVZO,0,2,0.5,5.0,244.36,122.18,0.85,1
w64BqIsmpk4u,0,53,0.22641509433962265,5.0,35337.74000000001,666.7498113207549,0.85,1
ftbUjJ6Gsazg,0,191,0.3769633507853403,5.0,110311.63999999997,577.5478534031412,0.85,1
fB7DhY9hwBnO,0,46,0.391304347826087,5.0,11852.499999999996,257.6630434782608,0.85,1
uDh3rMYge5il,0,12,0.5,5.0,4584.360000000001,382.03000000000003,0.85,1
kmvdMY7Og1bP,0,7,0.2857142857142857,5.0,968.15,138.30714285714285,0.85,1
mJYGJcjuy1Sl,0,7,0.0,5.0,8435.33,1205.047142857143,0.85,1
H8Ys0YKTGDmJ,0,16,0.375,5.0,2426.5699999999997,151.66062499999998,0.85,1
2Y33waIXINqR,0,28,0.4642857142857143,5.0,15029.109999999999,536.7539285714286,0.85,1
ALly5cKZN6tz,0,18,0.5555555555555556,5.0,9384.05,521.3361111111111,0.85,1
zhfqHH2Tkc7w,0,27,0.48148148148148145,5.0,4583.369999999999,169.7544444444444,0.85,1
RVYhMp9SYXjk,0,73,0.8356164383561644,5.0,47967.859999999986,657.0939726027395,0.85,1
S7rg2ZoOV67V,0,7,0.5714285714285714,5.0,5341.2,763.0285714285714,0.85,1
2v0gTzEWz4Yb,0,9,0.0,5.0,2772.1400000000003,308.0155555555556,0.85,1
6wUcyD899kOA,0,3,0.6666666666666666,5.0,1115.01,371.67,0.85,1
tzcJQVM5ttUQ,0,14,0.2857142857142857,5.0,3342.370000000001,238.74071428571435,0.85,1
SiCm1FwYfDe0,0,1,0.0,5.0,509.99,509.99,0.85,1
AB7hBpnwGgOt,0,2,0.5,5.0,282.55,141.275,0.85,1
B3xUIneblQHT,0,1,1.0,5.0,399.2,399.2,0.85,1
AS10URtcvnbg,0,2,1.0,5.0,217.89,108.945,0.85,1
RphVahHGhWjR,0,1,0.0,5.0,116.89,116.89,0.85,1
XuVuE3mRCE5g,0,2,0.5,5.0,1201.99,600.995,0.85,1
15ObmEc5xtyV,1,4,2.0,5.0,2039.96,509.99,0.85,2
5huq3aNa0gLw,0,1,0.0,5.0,217.91,217.91,0.85,1
yYAZJJTuJycC,0,1,0.0,5.0,820.05,820.05,0.85,1
WHCTdImrIp0y,0,1,0.0,5.0,1389.9,1389.9,0.85,1
3wnsc4tasTf2,0,1,0.0,5.0,28.82,28.82,0.85,1
GlLj704QXlDB,0,39,0.1794871794871795,5.0,4782.840000000001,122.63692307692311,0.85,1
2Vzr14MB7bRD,0,2996,0.37850467289719625,5.0,1415034.4599999879,472.3078971962576,0.85,1
dihwpSHrqtI2,0,58,0.6379310344827587,5.0,9245.449999999993,159.40431034482748,0.85,1
T5TAziawiIyq,0,1048,0.7061068702290076,5.0,254944.30000000127,243.26746183206228,0.85,1
RzwmUV7zFGz3,0,5,0.8,5.0,668.11,133.622,0.85,1
0LjmES9V5fHW,0,67,0.26865671641791045,5.0,12817.52,191.3062686567164,0.85,1
TONxC5aLQqev,0,128,0.421875,5.0,115994.94999999997,906.2105468749997,0.85,1
6ywUQmf7ylJv,0,62,0.16129032258064516,5.0,20665.210000000014,333.30983870967765,0.85,1
pmgltuNur5us,0,651,0.6190476190476191,5.0,79674.66999999997,122.3881259600614,0.85,1
YZefkqPxwMyU,0,15,0.06666666666666667,5.0,3441.93,229.462,0.85,1
7UAn1OyDurtG,0,4,0.0,5.0,3280.2,820.05,0.85,1
yWBcmXHhf5dK,0,137,0.6131386861313869,5.0,48530.85999999999,354.2398540145985,0.85,1
CrX0siETSsBR,0,1,0.0,5.0,265.9,265.9,0.85,1
R6SwJCNhwO5q,0,13,0.6153846153846154,5.0,1315.9499999999998,101.22692307692306,0.85,1
bvvPGnXzAxKt,0,2,0.5,5.0,1241.0,620.5,0.85,1
6UPXe7Q70FIn,0,2,0.0,5.0,93.93,46.965,0.85,1
8LekNMA5KmsU,0,1,0.0,5.0,17.91,17.91,0.85,1
13SGAFbd1P23,0,13,0.46153846153846156,5.0,6182.69,475.59153846153845,0.85,1
CCXtpNND4xcS,0,1,0.0,5.0,354.9,354.9,0.85,1
7OKhjPME8ZK3,0,2145,0.6004662004662005,5.0,419976.1300000039,195.79306759906942,0.85,1
SAgvSHND3dvC,0,6,0.3333333333333333,5.0,4014.4,669.0666666666667,0.85,1
O04i82YS0uAJ,0,500,0.188,5.0,25422.08000000004,50.84416000000008,0.85,1
AfrhtybONQw2,0,1,0.0,5.0,692.0,692.0,0.85,1
N5BGxhFNHIz2,0,760,0.32105263157894737,5.0,92522.08000000066,121.73957894736928,0.85,1
nVazDPjtf3dh,1,7,1.2857142857142858,5.0,1377.28,196.75428571428571,0.85,2
D5cQZJg2xRgz,0,7,0.42857142857142855,5.0,1668.19,238.31285714285715,0.85,1
k9fXUXpwzKoc,0,4,0.5,5.0,749.09,187.2725,0.85,1
RrhUJPd2xCYy,0,148,0.7635135135135135,5.0,14711.059999999981,99.39905405405393,0.85,1
7u6LqoimY44W,0,12,0.4166666666666667,5.0,1512.08,126.00666666666666,0.85,1
1h6SSNc2BYo9,0,157,0.14012738853503184,5.0,34816.78999999999,221.76299363057322,0.85,1
nX83EhtNSh0a,0,1,0.0,5.0,60.5,60.5,0.85,1
xfs7JMlCE2QZ,0,22,0.09090909090909091,5.0,3769.72,171.35090909090908,0.85,1
FevkF1El4hRb,0,2,0.0,5.0,1702.3500000000001,851.1750000000001,0.85,1
uJLjpKSWoufn,0,23,0.8695652173913043,5.0,2740.3600000000006,119.14608695652177,0.85,1
7oTmhVwoe7pw,0,9,0.6666666666666666,5.0,340.56000000000006,37.84,0.85,1
tYbtiPwsAhmw,0,15,0.0,5.0,4764.07,317.6046666666667,0.85,1
jMQnN9oqVBf9,0,2,0.0,5.0,801.1600000000001,400.58000000000004,0.85,1
7mIEWMZn0m8g,0,2,1.0,5.0,252.01999999999998,126.00999999999999,0.85,1
2NnxAiHaF3XO,0,1,0.0,5.0,135.0,135.0,0.85,1
9baTC3EK77o9,1,1,4.0,5.0,72.4,72.4,0.85,2
oQVTSf8CyApg,0,1,1.0,5.0,36.76,36.76,0.85,1
6RXn8X3tMEFa,0,1,0.0,5.0,184.9,184.9,0.85,1
OJktNwadOVAf,0,1,0.0,5.0,56.89,56.89,0.85,1
hiR55kJJpVc4,0,1,0.0,5.0,419.8,419.8,0.85,1
TD8Zb4y9ErXH,0,1,1.0,5.0,147.88,147.88,0.85,1
vDINI8Y1zlgh,0,1,0.0,5.0,97.99,97.99,0.85,1
ziqoutjkcjY8,0,1,0.0,5.0,90.1,90.1,0.85,1
C6WhdSZuLC8r,0,92,0.4673913043478261,5.0,23889.00999999999,259.6631521739129,0.85,1
A7s2wiNKJ3HW,0,492,0.6463414634146342,5.0,93773.22999999998,190.59599593495932,0.85,1
YVBAT3QqF9Qj,0,6333,0.5352716873212583,5.0,809785.109999995,127.86753671245776,0.85,1
FRAkUwkY4tZy,0,40,0.575,5.0,4036.6199999999967,100.91549999999992,0.85,1
oGYw3FCx0i23,0,478,0.4581589958158996,5.0,162193.73000000007,339.3174267782428,0.85,1
2QjevWskirjm,0,18,0.3333333333333333,5.0,9045.21,502.5116666666666,0.85,1
YYXMiqTJbeNf,0,173,0.6127167630057804,5.0,21443.69999999998,123.95202312138716,0.85,1
ZdLx9hwnjpgD,0,55,0.3090909090909091,5.0,11581.07,210.56490909090908,0.85,1
ImomkSifOhRo,0,41,0.24390243902439024,5.0,10210.559999999998,249.03804878048774,0.85,1
HgyKGyp5gLfl,1,27,1.4444444444444444,5.0,13577.080000000004,502.854814814815,0.85,2
kjxg8iwrBzpD,0,211,0.04265402843601896,5.0,27068.180000000106,128.2852132701427,0.85,1
elOz7hGMAfs7,0,8,0.0,5.0,1625.5,203.1875,0.85,1
olJ9Vx6j3yjJ,0,171,0.07602339181286549,5.0,43896.159999999974,256.7026900584794,0.85,1
rvi1RKsWYP3W,0,1,0.0,5.0,100.0,100.0,0.85,1
K3pf5oeH5BI5,0,15,0.6,5.0,10158.11,677.2073333333334,0.85,1
EVYqSX0VhRMX,0,1,0.0,5.0,145.3,145.3,0.85,1
GyQzkyOEmhtg,1,9,1.3333333333333333,5.0,240.93000000000004,26.770000000000003,0.85,2
pPivZynq4Uf2,0,3,1.0,5.0,1068.19,356.06333333333333,0.85,1
cijw7pZK3THP,0,13,0.6153846153846154,5.0,612.3,47.099999999999994,0.85,1
XtL9rYDuJzKO,0,5,0.0,5.0,4100.25,820.05,0.85,1
VpHnxUjS1VmL,1,14,2.7142857142857144,5.0,1110.31,79.30785714285715,0.85,2
rSnKwP7LZhVo,0,9,0.5555555555555556,5.0,698.72,77.63555555555556,0.85,1
J5PRkS9VaKIJ,0,3,0.6666666666666666,5.0,279.81,93.27,0.85,1
IsulrFHNdA6v,0,1,0.0,5.0,86.32,86.32,0.85,1
ZKQT73HNk5Y3,0,1,1.0,5.0,178.0,178.0,0.85,1
Sl8ghClxYnDu,0,1,0.0,5.0,197.99,197.99,0.85,1
XKyV4hMA5STP,0,1,1.0,5.0,86.32,86.32,0.85,1
pgoh0nDV1Ho5,0,1,0.0,5.0,171.9,171.9,0.85,1
SDfJy0vLQ8d6,0,1,1.0,5.0,490.9,490.9,0.85,1
ETscFUaQUdyG,1,2,4.0,5.0,47.9,23.95,0.85,2
sNwRoTEAnj9I,0,1,0.0,5.0,359.6,359.6,0.85,1
AVVPNyv8S9yP,0,1,0.0,5.0,438.99,438.99,0.85,1
adCXoFCcNqqx,0,1,0.0,5.0,467.0,467.0,0.85,1
YubXQJ7lnS3W,0,1,1.0,5.0,87.8,87.8,0.85,1
0BSAzZYz5osO,0,1,0.0,5.0,65.06,65.06,0.85,1
wcWSP9Zqkwzc,0,1,0.0,5.0,11.63,11.63,0.85,1
Pop7GYTjKtm4,0,689,0.3788098693759071,5.0,384627.59999999986,558.2403483309141,0.85,1
8NRu71xuHwbR,0,112,0.20535714285714285,5.0,49537.16999999999,442.29616071428563,0.85,1
LmLCpgOK9ibk,0,8,0.25,5.0,1175.21,146.90125,0.85,1
cFovkr5GFkYK,0,146,0.3013698630136986,5.0,12195.049999999987,83.5277397260273,0.85,1
al4fWZ5NFQzG,0,1226,0.5995106035889071,5.0,143971.7999999989,117.43213703099421,0.85,1
GwHrbZ3UqSSL,0,838,0.33770883054892603,5.0,181384.58999999985,216.4493914081144,0.85,1
WYVXnXQMcKZK,0,19,0.5263157894736842,5.0,2307.559999999999,121.45052631578942,0.85,1
79fGAMNBDzTH,1,15,1.4666666666666666,5.0,4640.44,309.36266666666666,0.85,2
SGwFhzogonFC,0,15,0.2,5.0,1360.4500000000003,90.69666666666669,0.85,1
RgQIJRCNplCd,1,4,1.5,5.0,2768.0,692.0,0.85,2
999DyhJGNdEO,0,2,1.0,5.0,159.6,79.8,0.85,1
sP2KGNGkyqFD,0,1,0.0,5.0,251.9,251.9,0.85,1
9gxQOgjadyeX,0,15,0.5333333333333333,5.0,1949.7799999999995,129.9853333333333,0.85,1
IA4miydxluXF,0,8,0.125,5.0,1242.31,155.28875,0.85,1
7e2miueV1rBR,0,1,0.0,5.0,107.63,107.63,0.85,1
EtEjOEbhH3ll,0,1,1.0,5.0,419.9,419.9,0.85,1
m2KDWzH089eX,0,1,1.0,5.0,699.9,699.9,0.85,1
VHjWYur5Gxh3,0,1,0.0,5.0,419.9,419.9,0.85,1
Be87c2yozFhY,0,1,0.0,5.0,223.51,223.51,0.85,1
J8unLpEsTK44,0,60,0.26666666666666666,5.0,10400.53999999999,173.34233333333316,0.85,1
qymcsWghMZ55,0,4,0.0,5.0,555.56,138.89,0.85,1
EBCOslQX8yVA,0,4,1.0,5.0,712.0,178.0,0.85,1
u5RSJBDtqaIg,0,5,0.8,5.0,16421.76,3284.352,0.85,1
d8XuBDDpkWTz,0,1,0.0,5.0,2899.0,2899.0,0.85,1
bu2EKHvmaQw3,0,9,0.0,5.0,3888.0,432.0,0.85,1
ngnjERw5ro3c,0,1,1.0,5.0,1359.9,1359.9,0.85,1
d8cgJZqYhwao,0,3,0.3333333333333333,5.0,1054.0,351.3333333333333,0.85,1
b0BP2o1ZCErn,1,54,1.4074074074074074,5.0,2294.6599999999967,42.493703703703645,0.85,2
xVqnZmeeaibQ,0,132,0.5075757575757576,5.0,26514.62999999999,200.868409090909,0.85,1
N32MgQgsAb11,0,223,0.452914798206278,5.0,38099.80000000004,170.85112107623337,0.85,1
NSTd0PXlulDm,0,82,0.7804878048780488,5.0,85909.32999999997,1047.6747560975607,0.85,1
Nhg0KvDy5ViR,0,5,0.0,5.0,730.42,146.084,0.85,1
DgPVEHc39WlC,0,100,0.5,5.0,10673.999999999984,106.73999999999984,0.85,1
6jGWZLtrj4fF,0,51,0.8235294117647058,5.0,12261.509999999993,240.42176470588223,0.85,1
