product_category_name,order_year,order_month,order_count,total_sales
home_appliances,2017,8,47,4642.3099999999995
food_drink,2017,11,7,4595.599999999999
stationery,2017,10,40,20656.519999999997
home_confort,2018,2,12,1863.2399999999998
small_appliances,2018,6,7,4614.82
food,2017,2,5,538.15
musical_instruments,2017,5,2,1640.1
drinks,2017,3,1,18.04
computers,2018,7,9,2474.5499999999997
housewares,2017,11,143,22216.47000000001
garden_tools,2018,7,293,159791.57000000024
fixed_telephony,2018,4,1,17.95
pet_shop,2017,4,20,2780.12
telephony,2018,6,45,18035.12
luggage_accessories,2018,3,13,6714.69
consoles_games,2018,2,9,1122.1599999999999
toys,2017,3,5710,2449624.319999966
watches_gifts,2018,5,3230,621868.479999982
office_furniture,2017,3,47,9117.709999999997
watches_gifts,2017,10,108,27877.669999999973
sports_leisure,2017,7,704,124159.53999999998
telephony,2017,1,26,60980.0
consoles_games,2018,8,6,1383.6200000000001
luggage_accessories,2018,7,3,220.05
air_conditioning,2017,2,16,24024.0
fashion_shoes,2017,11,3,1101.1399999999999
books_technical,2018,6,11,1594.89
auto,2018,5,81,24356.200000000023
electronics,2018,3,126,16396.61999999998
costruction_tools_garden,2017,8,6,1638.24
kitchen_dining_laundry_garden_furniture,2017,4,1,31.46
office_furniture,2017,4,114,96177.36000000015
consoles_games,2018,7,23,4937.449999999999
audio,2018,7,49,10063.080000000004
stationery,2017,9,29,5516.049999999999
housewares,2017,4,47,9502.059999999996
construction_tools_lights,2018,7,6,545.56
tablets_printing_image,2018,2,18,8311.5
cine_photo,2018,2,1,206.57
industry_commerce_and_business,2018,7,1,95.0
luggage_accessories,2017,9,1,107.63
fashion_shoes,2018,3,1,56.89
market_place,2017,10,8,2232.88
stationery,2018,6,47,8662.179999999997
health_beauty,2017,12,2312,385139.0400000096
consoles_games,2018,3,15,884.0600000000002
auto,2017,5,39,6257.490000000001
electronics,2017,9,15,1879.6500000000003
stationery,2017,5,28,5196.379999999998
bed_bath_table,2017,12,644,141653.7900000001
electronics,2018,4,84,10222.25999999999
construction_tools_construction,2018,7,62,6371.920000000001
furniture_decor,2017,9,73,45254.47999999998
consoles_games,2018,4,5,628.8800000000001
sports_leisure,2017,1,69,12827.980000000005
kitchen_dining_laundry_garden_furniture,2017,10,1,778.0
office_furniture,2017,9,22,5282.76
cool_stuff,2018,7,22,5542.58
home_confort,2017,10,1,115.32
electronics,2017,7,2,860.0
food_drink,2017,7,4,513.2
telephony,2017,7,37,60444.22000000001
stationery,2018,8,33,9633.45
construction_tools_safety,2018,5,8,615.99
auto,2018,6,60,21330.340000000004
housewares,2018,5,198,55075.07000000001
bed_bath_table,2017,9,245,119702.45000000014
baby,2018,1,127,56421.97000000006
baby,2017,9,113,14328.65000000002
stationery,2018,1,94,17261.550000000007
small_appliances,2018,7,2,538.99
books_general_interest,2018,6,1,475.0
luggage_accessories,2017,8,7,1399.8000000000002
office_furniture,2017,5,36,12982.960000000001
signaling_and_security,2018,4,4,793.68
construction_tools_safety,2018,3,1,1004.99
air_conditioning,2018,5,16,802.8900000000003
cool_stuff,2017,2,47,3375.0399999999972
market_place,2018,7,1,37.89
computers_accessories,2017,5,81,15448.699999999988
luggage_accessories,2018,2,5,1064.75
musical_instruments,2018,7,15,2278.45
fixed_telephony,2017,2,1,83.36
consoles_games,2018,6,7,1807.3999999999996
books_technical,2017,9,1,220.99
construction_tools_construction,2017,10,1,395.6
baby,2017,5,93,8321.889999999994
food_drink,2018,4,2,1681.56
watches_gifts,2017,5,22,1161.8700000000001
dvds_blu_ray,2017,5,1,820.05
bed_bath_table,2017,8,149,41625.229999999916
fashion_bags_accessories,2017,8,25,5289.579999999999
perfumery,2017,10,408,49925.60999999985
luggage_accessories,2018,1,14,2672.13
computers_accessories,2018,5,1632,268124.8599999952
sports_leisure,2017,2,48,11965.140000000007
pet_shop,2017,7,35,6359.18
fashion_bags_accessories,2017,12,41,10496.739999999998
home_appliances,2018,7,6,659.25
fashion_bags_accessories,2018,4,25,13645.529999999995
bed_bath_table,2017,1,25,1741.8099999999997
fashion_underwear_beach,2017,9,8,5536.0
office_furniture,2018,7,72,4939.150000000003
musical_instruments,2018,8,3,1672.0
food,2017,8,5,538.15
small_appliances,2017,6,6,1637.6
books_general_interest,2018,2,1,83.36
perfumery,2017,1,4,1641.18
bed_bath_table,2017,2,52,13871.379999999988
furniture_decor,2018,5,451,125342.6400000006
pet_shop,2018,8,66,40573.12000000001
furniture_living_room,2018,3,12,792.9999999999998
furniture_living_room,2017,8,11,2531.34
kitchen_dining_laundry_garden_furniture,2018,7,3,321.88
luggage_accessories,2017,4,1,692.0
construction_tools_construction,2017,9,1,820.05
office_furniture,2018,2,266,22579.419999999907
cool_stuff,2018,1,193,21715.059999999972
garden_tools,2018,2,2788,2214259.7600000296
bed_bath_table,2018,5,238,56463.7999999999
food,2018,8,8,779.1099999999999
construction_tools_construction,2018,2,66,15428.719999999987
stationery,2017,4,11,2103.59
music,2018,8,1,23.1
telephony,2018,7,194,51820.23000000019
perfumery,2017,8,161,18704.269999999997
baby,2018,7,33,3520.8
furniture_decor,2017,3,172,107736.68000000002
pet_shop,2017,10,16,1677.1299999999997
agro_industry_and_commerce,2018,7,5,217.52000000000004
home_construction,2018,4,32,3790.149999999996
small_appliances,2017,9,6,413.0
drinks,2017,10,8,2116.0
home_appliances_2,2018,5,5,1947.1000000000001
food_drink,2018,5,29,13629.220000000001
furniture_living_room,2018,2,5,2279.36
toys,2018,3,26470,20486084.340000197
air_conditioning,2018,1,10,4370.549999999999
electronics,2017,4,2,208.8
luggage_accessories,2017,6,20,3970.0
home_confort,2017,8,9,2407.09
books_imported,2017,11,2,615.0
drinks,2018,7,1,692.0
bed_bath_table,2018,3,488,76333.52999999993
furniture_living_room,2017,12,5,2372.31
construction_tools_construction,2018,6,81,48285.11999999998
watches_gifts,2018,1,241,226190.38999999932
sports_leisure,2017,10,418,136869.37999999986
audio,2017,9,1,34.0
home_appliances,2017,2,16,5861.38
home_appliances_2,2018,7,8,1018.4500000000002
furniture_living_room,2018,4,2,194.1
garden_tools,2018,3,1922,7266939.750000262
sports_leisure,2017,12,206,49738.31999999996
furniture_decor,2017,4,76,67846.96000000005
housewares,2017,12,116,53194.65000000004
computers_accessories,2017,6,303,54270.80999999995
health_beauty,2017,6,1816,303336.289999998
home_appliances,2017,7,52,17589.809999999998
telephony,2017,11,179,123804.34999999986
flowers,2018,1,5,164.85
costruction_tools_tools,2017,12,14,11480.699999999997
auto,2017,8,82,29176.180000000004
baby,2018,3,149,68668.90999999996
stationery,2018,5,45,10816.31
computers,2018,8,1,69.86
sports_leisure,2017,4,47,11506.090000000002
costruction_tools_garden,2017,5,8,995.4400000000003
luggage_accessories,2018,5,4,6073.75
housewares,2016,10,15,432.29999999999995
kitchen_dining_laundry_garden_furniture,2017,2,1,820.05
costruction_tools_tools,2018,4,1,579.0
toys,2018,7,14443,4609161.340000127
watches_gifts,2018,2,539,84302.20000000078
drinks,2018,5,1,109.9
office_furniture,2017,2,121,21951.73000000001
tablets_printing_image,2018,1,6,5279.94
computers,2018,6,2,2111.8
toys,2017,6,10505,3737668.7099998225
home_construction,2017,11,40,5081.5599999999995
furniture_decor,2017,8,340,139163.5400000003
fashion_bags_accessories,2017,5,16,4208.19
baby,2017,7,76,9843.180000000011
sports_leisure,2018,4,191,55092.40000000004
