product_category_name,order_year,order_month,order_count,total_sales,prev_month_count,growth_rate
cine_photo,2018,2,1,206.57,1.0,0.0
cine_photo,2018,8,1,319.29,1.0,0.0
computers,2017,8,4,1055.6,,
computers,2017,9,8,273.64,4.0,100.0
computers,2017,10,4,2519.96,8.0,-50.0
computers,2017,12,4,172.84,4.0,0.0
computers,2018,1,63,11836.439999999951,4.0,1475.0
computers,2018,4,9,9503.099999999999,63.0,-85.71428571428571
computers,2018,5,2,2111.8,9.0,-77.77777777777779
computers,2018,6,2,2111.8,2.0,0.0
computers,2018,7,9,2474.5499999999997,2.0,350.0
computers,2018,8,1,69.86,9.0,-88.88888888888889
computers_accessories,2016,10,5,3169.1,,
computers_accessories,2017,1,1,111.27,5.0,-80.0
computers_accessories,2017,2,36,2814.7499999999986,1.0,3500.0
computers_accessories,2017,3,139,28159.13999999999,36.0,286.11111111111114
computers_accessories,2017,4,543,78172.83000000044,139.0,290.6474820143885
computers_accessories,2017,5,81,15448.699999999988,543.0,-85.0828729281768
computers_accessories,2017,6,303,54270.80999999995,81.0,274.0740740740741
computers_accessories,2017,7,512,38408.34999999997,303.0,68.97689768976898
computers_accessories,2017,8,500,106164.11000000076,512.0,-2.34375
computers_accessories,2017,9,479,100174.21000000062,500.0,-4.2
computers_accessories,2017,10,663,254773.77999999787,479.0,38.413361169102295
computers_accessories,2017,11,1153,163419.1999999982,663.0,73.90648567119156
computers_accessories,2017,12,518,70157.77000000057,1153.0,-55.07372072853426
computers_accessories,2018,1,4601,610516.149999978,518.0,788.2239382239383
computers_accessories,2018,2,3299,321838.7399999974,4601.0,-28.298196044338187
computers_accessories,2018,3,3132,738283.9300000094,3299.0,-5.062140042437102
computers_accessories,2018,4,3179,528291.0900000306,3132.0,1.5006385696040867
computers_accessories,2018,5,1632,268124.8599999952,3179.0,-48.663101604278076
computers_accessories,2018,6,1963,729977.9799999923,1632.0,20.28186274509804
computers_accessories,2018,7,1721,681319.020000007,1963.0,-12.328069281711667
computers_accessories,2018,8,910,522175.9600000074,1721.0,-47.12376525276002
consoles_games,2016,10,1,83.36,,
consoles_games,2017,1,1,399.2,1.0,0.0
consoles_games,2017,3,32,26903.850000000002,1.0,3100.0
consoles_games,2017,5,26,3383.76,32.0,-18.75
consoles_games,2017,6,1,8.65,26.0,-96.15384615384616
consoles_games,2017,8,17,1836.8999999999992,1.0,1600.0
consoles_games,2017,9,2,85.78,17.0,-88.23529411764706
consoles_games,2017,10,13,880.8999999999997,2.0,550.0
consoles_games,2017,11,5,762.9599999999999,13.0,-61.53846153846154
consoles_games,2017,12,17,1699.1399999999999,5.0,240.0
consoles_games,2018,1,15,1981.0699999999997,17.0,-11.76470588235294
consoles_games,2018,2,9,1122.1599999999999,15.0,-40.0
consoles_games,2018,3,15,884.0600000000002,9.0,66.66666666666666
consoles_games,2018,4,5,628.8800000000001,15.0,-66.66666666666666
consoles_games,2018,5,22,2140.28,5.0,340.0
consoles_games,2018,6,7,1807.3999999999996,22.0,-68.18181818181817
consoles_games,2018,7,23,4937.449999999999,7.0,228.57142857142856
consoles_games,2018,8,6,1383.6200000000001,23.0,-73.91304347826086
construction_tools_construction,2017,8,1,109.03,,
construction_tools_construction,2017,9,1,820.05,1.0,0.0
construction_tools_construction,2017,10,1,395.6,1.0,0.0
construction_tools_construction,2017,11,4,2531.56,1.0,300.0
construction_tools_construction,2017,12,2,1069.56,4.0,-50.0
construction_tools_construction,2018,1,18,2085.05,2.0,800.0
construction_tools_construction,2018,2,66,15428.719999999987,18.0,266.66666666666663
construction_tools_construction,2018,3,13,1117.36,66.0,-80.3030303030303
construction_tools_construction,2018,4,34,3559.7500000000005,13.0,161.53846153846155
construction_tools_construction,2018,5,41,29742.089999999993,34.0,20.588235294117645
construction_tools_construction,2018,6,81,48285.11999999998,41.0,97.5609756097561
construction_tools_construction,2018,7,62,6371.920000000001,81.0,-23.456790123456788
construction_tools_construction,2018,8,64,21945.24,62.0,3.225806451612903
construction_tools_lights,2018,2,2,169.37,,
construction_tools_lights,2018,4,4,818.86,2.0,100.0
construction_tools_lights,2018,6,9,8515.0,4.0,125.0
construction_tools_lights,2018,7,6,545.56,9.0,-33.33333333333333
construction_tools_lights,2018,8,16,23339.5,6.0,166.66666666666669
construction_tools_safety,2018,2,1,759.0,,
construction_tools_safety,2018,3,1,1004.99,1.0,0.0
construction_tools_safety,2018,4,3,193.20000000000002,1.0,200.0
construction_tools_safety,2018,5,8,615.99,3.0,166.66666666666669
cool_stuff,2017,1,5,3123.75,,
cool_stuff,2017,2,47,3375.0399999999972,5.0,840.0
cool_stuff,2017,3,354,30951.359999999844,47.0,653.1914893617022
cool_stuff,2017,4,297,31509.499999999876,354.0,-16.101694915254235
cool_stuff,2017,5,711,73664.03000000007,297.0,139.3939393939394
cool_stuff,2017,6,470,69192.19000000002,711.0,-33.895921237693386
cool_stuff,2017,7,778,118264.96000000041,470.0,65.53191489361701
cool_stuff,2017,8,483,95105.73000000004,778.0,-37.91773778920309
cool_stuff,2017,9,249,50658.08000000004,483.0,-48.4472049689441
cool_stuff,2017,10,205,31689.41000000011,249.0,-17.670682730923694
cool_stuff,2017,11,254,50723.28000000015,205.0,23.902439024390244
cool_stuff,2017,12,236,41205.05999999992,254.0,-7.086614173228346
cool_stuff,2018,1,193,21715.059999999972,236.0,-18.220338983050848
cool_stuff,2018,2,173,40262.86999999998,193.0,-10.362694300518134
cool_stuff,2018,3,83,6302.509999999998,173.0,-52.02312138728323
